тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
;text;text;text;text;text;text;text;text;text
attack;~w~$~/~ $. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $. ~w~$~/~ perdeu ~w~$~/~ $;~w~$~/~$。~w~$~/~失去了~w~$~/~点$;~w~$~/~ $. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $. ~w~$~/~ traci ~w~$~/~ $
crit;~w~$~/~ $ и наносит ~r~критическую атаку~/~! ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $ and scores ~r~critical hit~/~! ~w~$~/~ loses ~w~$~/~ $;~w~$~/~$，并造成了~r~暴击~/~！~w~$~/~失去了~w~$~/~点$;~w~$~/~ $ und landet ~r~krit. Treffer~/~! ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $ zadaje ~r~cios krytyczny~/~! ~w~$~/~ traci ~w~$~/~ $
fumble;~w~$~/~ неудачно $. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ $, mas se atrapalhou. O ~w~$~/~ perdeu ~w~$~/~ $;~w~$~/~$，但失手了。~w~$~/~失去了~w~$~/~点$;~w~$~/~ $, stellt sich aber ungeschickt an. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ $, ale partaczy. ~w~$~/~ traci ~w~$~/~ $
shot;~w~$~/~ стреляет. ~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ shoots. ~w~$~/~ loses ~w~$~/~ $;~w~$~/~攻击，~w~$~/~失去了~w~$~/~点$;~w~$~/~ schießt. ~w~$~/~ verliert ~w~$~/~ $;;;;;~w~$~/~ strzela w. ~w~$~/~ traci ~w~$~/~ $
fumbleNoDamage;~w~$~/~ неудачно $. ~w~$~/~ не получает урона;~w~$~/~ $, but fumbles. ~w~$~/~ doesn't take any damage;~w~$~/~$，可是失手了，~w~$~/~没有受到伤害;~w~$~/~ $, stellt sich aber ungeschickt an. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $, ale partaczy. ~w~$~/~ nie otrzymuje obrażeń.
attackNoDamage;~w~$~/~ $. ~w~$~/~ не получает урона;~w~$~/~ $. ~w~$~/~ doesn't take any damage;~w~$~/~$，~w~$~/~没有受到伤害;~w~$~/~ $. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $. ~w~$~/~ nie otrzymuje żadnych obrażeń.
critNoDamage;~w~$~/~ $ и наносит ~r~критическую атаку~/~! ~w~$~/~ не получает урона;~w~$~/~ $ and scores ~r~critical hit~/~! ~w~$~/~ doesn't take any damage;~w~$~/~$，并造成了~r~暴击~/~！~w~$~/~没有受到伤害;~w~$~/~ $ und landet einen ~r~krit. Treffer~/~! ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ $ trafia i zadaje ~r~cios krytyczny~/~! ~w~$~/~ nie otrzymuje obrażeń.
shotNoDamage;~w~$~/~ стреляет. ~w~$~/~ не получает урона;~w~$~/~ shoots. ~w~$~/~ doesn't take any damage;~w~$~/~攻击，~w~$~/~没有受到伤害;~w~$~/~ schießt. ~w~$~/~ nimmt keinen Schaden;;;;;~w~$~/~ strzela. ~w~$~/~ nie otrzymuje żadnych obrażeń.
blockFull;~w~$~/~ $. ~w~$~/~ блокирует весь урон;~w~$~/~ $. ~w~$~/~ blocks all damage;~w~$~/~$。~w~$~/~挡住了所有伤害;~w~$~/~ $. ~w~$~/~ blockt gesamten Schaden;;;;;~w~$~/~ $. ~w~$~/~ blokuje wszystkie obrażenia.
blockPart;~w~$~/~ $. ~w~$~/~ блокирует часть урона и теряет ~w~$~/~ $;~w~$~/~ $. ~w~$~/~ partially blocks damage and loses ~w~$~/~ $;~w~$~/~$，~w~$~/~挡住了部分伤害，失去了~w~$~/~点$;~w~$~/~ $. ~w~$~/~ blockt Teilschaden und verliert ~w~$~/~ $;;;;;~w~$~/~ $. ~w~$~/~ częściowo blokuje obrażenia i traci ~w~$~/~ $
evade;~w~$~/~ $, но промахивается.;~w~$~/~ $, but misses.;~w~$~/~$，但是没有击中。;~w~$~/~ $, aber verfehlt.;;;;;~w~$~/~ $, ale pudłuje.
playerDeath;~w~$~/~ погибает.;~w~$~/~ morreu.;~w~$~/~死了。;~w~$~/~ stirbt.;;;;;~w~$~/~ umiera.
enemyDeath;~w~$~/~ погибает. (~y~$~/~);~w~$~/~ morreu. (~y~$~/~);~w~$~/~死了。（~y~$~/~）;~w~$~/~ stirbt. (~y~$~/~);;;;;~w~$~/~ umiera. (~y~$~/~)
pickupEffect;~w~$~/~ получает эффект ~ly~$~/~.;~w~$~/~ recebe ~ly~$~/~.;~w~$~/~获得~ly~$~/~。;~w~$~/~ erhält ~ly~$~/~.;;;;;~w~$~/~ otrzymuje ~ly~$~/~.
dropEffect;~w~$~/~ больше не под действием эффекта ~ly~$~/~!;~w~$~/~ is no longer affected by ~ly~$~/~!;~w~$~/~身上的~ly~$~/~效果消失了！;~w~$~/~ wird nicht länger beeinflusst von ~ly~$~/~!;;;;;~w~$~/~ nie jest dłużej pod wpływem ~ly~$~/~!
breakLockSuccess;~w~$~/~ успешно взламывает замок (~w~$~/~).;~w~$~/~ destrancou a/o ~w~$~/~ com uma gazua.;~w~$~/~打开了~w~$~/~的锁。;~w~$~/~ knackt erfolgreich ~w~$~/~ Schloss.;;;;;~w~$~/~ z sukcesem otwiera ~w~$~/~ zamek.
breakLockFail;~w~$~/~ безуспешно пытается взломать замок (~w~$~/~).;~w~$~/~ fails to pick ~w~$~/~ lock.;~w~$~/~没能打开~w~$~/~的锁。;~w~$~/~ kann ~w~$~/~ Schloss nicht knacken.;;;;;~w~$~/~ nie daje rady otworzyć zamka ~w~$~/~.
search;~w~$~/~ обыскивает контейнер (~w~$~/~).;~w~$~/~ vasculhou a/o ~w~$~/~.;~w~$~/~翻了翻~w~$~/~。;~w~$~/~ durchsucht ~w~$~/~.;;;;;~w~$~/~ przeszukuje ~w~$~/~.
attackTrap;~w~$~/~ попадает в ловушку (~w~$~/~) и теряет ~w~$~/~ здоровья;~w~$~/~ triggers the ~w~$~/~ e perdeu ~w~$~/~ de vida;~w~$~/~触发了~w~$~/~，失去了~w~$~/~点生命。;~w~$~/~ löst ~w~$~/~ aus und verliert ~w~$~/~ Gesundheit;;;;;~w~$~/~ aktuwuje ~w~$~/~ i traci ~w~$~/~ zdrowia.
disarmTrapSuccess;~w~$~/~ обезвреживает ловушку (~w~$~/~).;~w~$~/~ tries to disarm the ~w~$~/~ and succeeds.;~w~$~/~拆掉了~w~$~/~。;~w~$~/~ versucht ~w~$~/~ zu entschärfen und ist erfolgreich.;;;;;~w~$~/~ próbuje rozbroić ~w~$~/~ i daje radę.
disarmTrapFail;~w~$~/~ безуспешно пытается обезвредить ловушку (~w~$~/~).;~w~$~/~ tries to disarm the ~w~$~/~ and fails.;~w~$~/~没能拆掉拆掉~w~$~/~。;~w~$~/~ versucht ~w~$~/~ zu entschärfen und scheitert.;;;;;~w~$~/~ próbuje rozbroić ~w~$~/~ i nie daje rady.
spotTrap;~w~$~/~ замечает скрытую ловушку (~w~$~/~).;~w~$~/~ spots a hidden ~w~$~/~.;~w~$~/~发现一个隐蔽的~w~$~/~。;~w~$~/~ entdeckt verborgene ~w~$~/~.;;;;;~w~$~/~ zauważa ukrytą ~w~$~/~.
altarRitual;~w~$~/~ совершает нечестивый ритуал!;~w~$~/~ performs an unholy ritual!;~w~$~/~开始举行邪术仪式！;~w~$~/~ vollzieht ein unheiliges Ritual!;;;;;~w~$~/~ wykonuje przeklęty rytuał!
altarDestroy;~w~$~/~ уничтожает алтарь! Нечестивые узы ослаблены...;~w~$~/~ destroys the Altar! The unholy bonds have been weakened...;~w~$~/~摧毁了祭坛！邪恶的纽带松解了……;~w~$~/~ zerstört den Altar! Die unheiligen Verbindungen wurden geschwächt...;;;;;~w~$~/~ niszczy Ołtarz! Przeklęte więzy zostały osłabione...
folioDestroy;~w~$~/~ уничтожает проклятый фолиант!;~w~$~/~ destroys the Cursed Folio!;~w~$~/~摧毁了受到诅咒的三联书碑！;~w~$~/~ zerstört den Verfluchten Folianten!;;;;;~w~$~/~ niszczy Przeklętą Osłonę!
salvatoryDestroy;~w~$~/~ уничтожает колодец душ!;~w~$~/~ destroys the Well of Souls!;~w~$~/~摧毁了受到魂井！;~w~$~/~ zerstört den Seelenbrunnen!;;;;;~w~$~/~ niszczy Studnię Dusz!
enemyUnaware;~w~$~/~ теряет след персонажа!;~w~$~/~ becomes unaware!;~w~$~/~有所~y~警觉~/~！;~w~$~/~ is nun ahnungslos!;;;;;~w~$~/~ jest nieświadomy!
enemyAlarm;~w~$~/~ ~y~настораживается~/~!;~w~$~/~ foi ~y~alarmado~/~!;~w~$~/~有所~y~警觉~/~！;~w~$~/~ ist ~y~alarmiert~/~!;;;;;~w~$~/~ zostaje ~y~zaalarmowany~/~!
enemyHostile;~w~$~/~ ~r~замечает персонажа~/~!;~w~$~/~ se tornou ~r~hostil~/~!;~w~$~/~出现~y~敌意~/~！;~w~$~/~ ist ~r~feindlich~/~!;;;;;~w~$~/~ staje się ~r~wrogi~/~!
enemyUnawareFOV;~w~$~/~ попадает в поле зрения.;~w~$~/~ foi visto.;~w~$~/~进入视野。;~w~$~/~ wurde entdeckt.;;;;;~w~$~/~ ujawnia się.
enemyAlarmFOV;~w~$~/~ попадает в поле зрения. ~w~$~/~ рыщет в поисках персонажа.;~w~$~/~ is spotted. ~w~$~/~ is alarmed.;~w~$~/~进入视野，~w~$~/~有所警觉。;~w~$~/~ wurde entdeckt. ~w~$~/~ ist alarmiert.;;;;;~w~$~/~ ujawnia się. ~w~$~/~ jest zaalarmowany.
enemyHostileFOV;~w~$~/~ попадает в поле зрения. ~w~$~/~ замечает персонажа!;~w~$~/~ is spotted. ~w~$~/~ is hostile!;~w~$~/~进入视野，~w~$~/~产生敌意。;~w~$~/~ wurde entdeckt. ~w~$~/~ ist feindlich!;;;;;~w~$~/~ ujawnia się. ~w~$~/~ staje się wrogi.
playerPickupItem;~w~$~/~ поднимает ~w~$~/~.;~w~$~/~ picks up ~w~$~/~.;~w~$~/~捡起了~w~$~/~。;~w~$~/~ hebt ~w~$~/~ auf.;;;;;~w~$~/~ podnosi ~w~$~/~.
playerDropItem;~w~$~/~ выбрасывает ~lg~$~/~.;~w~$~/~ throws away ~lg~$~/~.;~w~$~/~扔掉了~lg~$~/~。;~w~$~/~ wirft ~lg~$~/~ weg.;;;;;~w~$~/~ wyrzuca ~lg~$~/~.
drop;Из контейнера (~w~$~/~) выпадает:;~w~$~/~ drops:;~w~$~/~掉落：;~w~$~/~ lässt fallen:;;;;;~w~$~/~ upuszcza:
useSkill;~w~$~/~ использует умение ~g~$~/~.;~w~$~/~ uses ~g~$~/~.;~w~$~/~使用了~g~$~/~。;~w~$~/~ verwendet ~g~$~/~.;;;;;~w~$~/~ używa ~g~$~/~.
useSkillTarget;~w~$~/~ использует умение ~g~$~/~. Цель - ~w~$~/~.;~w~$~/~ uses ~g~$~/~ on ~w~$~/~.;~w~$~/~使用了~g~$~/~，目标：~w~$~/~。;~w~$~/~ verwendet ~g~$~/~ an ~w~$~/~.;;;;;~w~$~/~ używa ~g~$~/~ na ~w~$~/~.
skillAttack;~w~$~/~ теряет ~w~$~/~ $ от умения ~g~$~/~;~w~$~/~ perdeu ~w~$~/~ $ de ~g~$~/~;~w~$~/~失去了~w~$~/~点$，原因：~g~$~/~;~w~$~/~ verliert ~w~$~/~ $ von ~g~$~/~;;;;;~w~$~/~ traci ~w~$~/~ $ od ~g~$~/~
level;~w~$~/~ получает ~y~$~/~ уровень.;~w~$~/~ level ups to ~y~$~/~ level.;~w~$~/~升到了~y~$~/~级。;~w~$~/~ steigt auf Stufe ~y~$~/~ auf.;;;;;~w~$~/~ awansuje na ~y~$~/~ poziom.
speech;~w~$~/~ говорит: ~ly~$~/~.;~w~$~/~ says: ~ly~$~/~.;~w~$~/~说：~ly~$~/~。;~w~$~/~ sagt: ~ly~$~/~.;;;;;~w~$~/~ mówi: ~ly~$~/~.
shout;~w~$~/~ кричит: ~ly~$~/~.;~w~$~/~ shouts: ~ly~$~/~.;~w~$~/~大喊：~ly~$~/~。;~w~$~/~ ruft: ~ly~$~/~.;;;;;~w~$~/~ krzyczy: ~ly~$~/~.
useItem;~w~$~/~ $ ~lg~$~/~.;~w~$~/~ $ ~lg~$~/~.;~w~$~/~$~lg~$~/~。;~w~$~/~ $ ~lg~$~/~.;;;;;~w~$~/~ $ ~lg~$~/~.
openDoor;~w~$~/~ открывает ~w~$~/~.;~w~$~/~ abriu ~w~$~/~.;~w~$~/~打开了~w~$~/~。;~w~$~/~ öffnet ~w~$~/~.;;;;;~w~$~/~ otwiera ~w~$~/~.
closeDoor;~w~$~/~ закрывает ~w~$~/~.;~w~$~/~ fechou ~w~$~/~.;~w~$~/~关上了~w~$~/~。;~w~$~/~ schließt ~w~$~/~.;;;;;~w~$~/~ zamyka ~w~$~/~.
breakDoor;~w~$~/~ сломалась.;~w~$~/~ is broken.;~w~$~/~坏了。;~w~$~/~ ist kaputt.;;;;;~w~$~/~ zostaje uszkodzony.
location;~w~$~/~ переходит в другую локацию: ~w~$~/~.;~w~$~/~ enters ~w~$~/~.;~w~$~/~走进了~w~$~/~。;~w~$~/~ betritt ~w~$~/~.;;;;;~w~$~/~ wchodzi do ~w~$~/~.
locationFloor;~w~$~/~ переходит в другую локацию: ~w~$~/~ (этаж ~w~$~/~).;~w~$~/~ enters ~w~$~/~ (floor ~w~$~/~).;~w~$~/~走进了~w~$~/~（第~w~$~/~层）。;~w~$~/~ betritt ~w~$~/~ (Ebene ~w~$~/~).;;;;;~w~$~/~ wchodzi do ~w~$~/~ (~w~$~/~ piętro).
healthLoss;~w~$~/~ теряет ~w~$~/~ $;~w~$~/~ loses ~w~$~/~ $;~w~$~/~失去了~w~$~/~点$;~w~$~/~ verliert~w~$~/~ $;;;;;~w~$~/~ traci ~w~$~/~ $
healthLossBleeding;~w~$~/~ теряет ~w~$~/~ $ (кровотечение).;~w~$~/~ loses ~w~$~/~ $ to bleeding.;~w~$~/~由于出血失去了~w~$~/~点$。;~w~$~/~ verliert ~w~$~/~ $ durch Bluten.;;;;;~w~$~/~ traci ~w~$~/~ $ przez krwawienie.
healthRestore;~w~$~/~ восстанавливает ~lg~$~/~ здоровья (~w~$~/~).;~w~$~/~ restaurou ~lg~$~/~ de vida (~w~$~/~).;~w~$~/~恢复了~lg~$~/~点生命（~w~$~/~）。;~w~$~/~ stellt ~lg~$~/~ Gesundheit (~w~$~/~) wieder her.;;;;;~w~$~/~ odnawia ~lg~$~/~ zdrowia (~w~$~/~).
energyRestore;~w~$~/~ восстанавливает ~c~$~/~ энергии (~w~$~/~).;~w~$~/~ restores ~c~$~/~ energy (~w~$~/~).;~w~$~/~恢复了~lg~$~/~点精力（~w~$~/~）。;~w~$~/~ stellt ~c~$~/~ Energie (~w~$~/~) wieder her.;;;;;~w~$~/~ odnawia ~c~$~/~ energii (~w~$~/~).
penaltyAttack;~w~$~/~ отступает, подставляясь под штрафной удар.;~w~$~/~ retreats, provoking attack of opportunity.;~w~$~/~撤退，送给对方趁机攻击的机会。;~w~$~/~ zieht sich zurück, eröffnet Chance für Gelegenheitsangriff.;;;;;~w~$~/~ wycofuje się, prowokując do ataku.
skipTurn;~w~$~/~ выжидает.;~w~$~/~ does nothing.;~w~$~/~什么事情都没做。;~w~$~/~ tut nichts.;;;;;~w~$~/~ nic nie robi.
knockback;~w~$~/~ отлетает назад.;~w~$~/~ is knocked back.;~w~$~/~被击退。;~w~$~/~ wird zurückgestoßen.;;;;;~w~$~/~ zostaje odrzucony.
knockbackDamage;~w~$~/~ отлетает назад и получает ~w~$~/~ урона.;~w~$~/~ is knocked back and takes ~w~$~/~ damage.;~w~$~/~被击退，受到~w~$~/~点伤害。;~w~$~/~ wird zurückgestoßen und erleidet ~w~$~/~ Schaden.;;;;;~w~$~/~ zostaje odrzucony i otrzymuje ~w~$~/~ obrażeń.
knockbackDamageObject;~w~$~/~ отлетает на объект ~w~$~/~ и получает ~w~$~/~ урона.;~w~$~/~ is knocked back against the ~w~$~/~ and takes ~w~$~/~ damage.;~w~$~/~因为击退而撞在了~w~$~/~上，受到~w~$~/~点伤害。;~w~$~/~ wird gegen ~w~$~/~ zurückgestoßen und erleidet ~w~$~/~ Schaden.;;;;;~w~$~/~ zostaje odrzucony na ~w~$~/~ i otrzymuje ~w~$~/~ obrażeń.
knockbackCollide;~w~$~/~ сталкивается с объектом ~w~$~/~, нанося ~w~$~/~ урона.;~w~$~/~ collides with ~w~$~/~, dealing ~w~$~/~ damage.;~w~$~/~与~w~$~/~相撞，造成了w~$~/~点伤害。;~w~$~/~ kollidiert mit ~w~$~/~, und verursacht ~w~$~/~ Schaden.;;;;;~w~$~/~ zderza się z ~w~$~/~, zadając ~w~$~/~ obrażeń.
reflectDamage;~w~$~/~ отражает ~w~$~/~ урона.;~w~$~/~ reflects ~w~$~/~ damage.;~w~$~/~造成了~w~$~/~点反伤。;~w~$~/~ reflektiert ~w~$~/~ Schaden.;;;;;~w~$~/~ odbija ~w~$~/~ obrażeń.
restEnter;~w~$~/~ отдыхает.;~w~$~/~ rests.;~w~$~/~正在休息。;~w~$~/~ ruht.;;;;;~w~$~/~ odpoczywa.
restExit;~w~$~/~ перестаёт отдыхать.;~w~$~/~ stops resting.;~w~$~/~休息结束。;~w~$~/~ ruht nicht mehr.;;;;;~w~$~/~ przestaje odpoczywać.
restEnemy;~w~$~/~ не может отдыхать (враг поблизости).;~w~$~/~ сan't rest (enemies are nearby).;附近有敌人，~w~$~/~无法休息。;~w~$~/~ kann nicht ruhen (Feinde in der Nähe).;;;;;~w~$~/~ nie może odpoczywać (przeciwnicy w okolicy).
restThreat;~w~$~/~ не может отдыхать (жизнь под угрозой).;~w~$~/~ сan't rest (life's under threat).;~w~$~/~即将性命不保，无法休息。;~w~$~/~ kann nicht ruhen (Leben in Gefahr).;;;;;~w~$~/~ nie może odpoczywać (życie jest zagrożone).
stealthEnter;~w~$~/~ начинает красться.;~w~$~/~ starts sneaking.;~w~$~/~开始潜行。;~w~$~/~ schleicht.;;;;;~w~$~/~ zaczyna się skradać.
stealthExit;~w~$~/~ перестаёт красться.;~w~$~/~ stops sneaking.;~w~$~/~结束潜行。;~w~$~/~ schleicht nicht mehr.;;;;;~w~$~/~ przestaje się skradać.
stealthSpot;~w~$~/~ не может красться (враг поднял тревогу).;~w~$~/~ can no longer sneak (the alarm was raised);敌人已经有所察觉，~w~$~/~无法继续潜行。;~w~$~/~ kann nicht mehr schleichen (Alarm wurde ausgelöst);;;;;~w~$~/~ nie może się skradać (podniesiono alarm).
npcTalk;~w~$~/~ и ~w~$~/~ заводят разговор.;~w~$~/~ and ~w~$~/~ strike a conversation.;~w~$~/~和~w~$~/~聊了起来。;~w~$~/~ und ~w~$~/~ führen eine Unterhaltung.;;;;;~w~$~/~ i ~w~$~/~ rozpoczęli rozmowę.
npcTrade;~w~$~/~ и ~w~$~/~ торгуют.;~w~$~/~ and ~w~$~/~ start trading.;~w~$~/~和~w~$~/~做起了买卖。;~w~$~/~ und ~w~$~/~ starten einen Handel.;;;;;~w~$~/~ i ~w~$~/~ rozpoczęli wymianę.
loadout;~w~$~/~ меняет вооружение.;~w~$~/~ switches loadout.;~w~$~/~切换了武器组合。;~w~$~/~ wechselt die Ausrüstung.;;;;;~w~$~/~ zmienia wyposażenie.
drinkWell;~w~$~/~ пьёт из $.;~w~$~/~ drinks from the $.;~w~$~/~喝了$的水。;~w~$~/~ trinkt aus dem $.;;;;;~w~$~/~ pije z $.
refillWell;~w~$~/~ наполняет бурдюк из $.;~w~$~/~ refills the waterskin at the $.;~w~$~/~在$灌满了水囊。;~w~$~/~ füllt den Wasserschlauch am $ wieder auf.;;;;;~w~$~/~ napełnia bukłak z $.
disturbEternalRest;~w~$~/~ тревожит вечный сон умертвия!;~w~$~/~ has disturbed Wraith's eternal rest!;~w~$~/~搅扰了长眠的幽魂！;~w~$~/~ hat den ewigen Schlaf eines Gespenstes gestört!;;;;;~w~$~/~ sprawia, że wieczny spoczynek został naruszony!
bonfireOn;~w~$~/~ разводит огонь.;~w~$~/~ lights a fire.;~w~$~/~生起了火。;~w~$~/~ entfacht ein Feuer.;;;;;~w~$~/~ rozpala ogień.
bonfireOff;~w~$~/~ тушит огонь.;~w~$~/~ extinguishes a fire.;~w~$~/~扑灭了火。;~w~$~/~ löscht ein Feuer.;;;;;~w~$~/~ gasi ogień.
hunger0;~w~$~/~ чувствует приятную сытость.;~w~$~/~ feels pleasantly satiated.;~w~$~/~十分满足。;~w~$~/~ fühlt sich gut gesättigt.;;;;;~w~$~/~ czuje, że bebech jest pełen.
