тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
hunger1;~w~$~/~ не прочь перекусить.;~w~$~/~ would like to have a snack.;~w~$~/~想吃点东西。;~w~$~/~ könnte einen Snack vertragen.;;;;;~w~$~/~ czuje lekkie burczenie w brzuchu.
hunger2;~w~$~/~ испытывает сильный голод.;~w~$~/~ suffers from severe hunger.;~w~$~/~饥肠辘辘。;~w~$~/~ leidet unter starkem Hunger.;;;;;~w~$~/~ cierpi z głodu.
hunger3;~w~$~/~ испытывает смертельный голод!;~w~$~/~ is about to starve to death!;~w~$~/~马上就要饿死了！;~w~$~/~ ist dem Hungertod nahe!;;;;;~w~$~/~ wkrótce umrze z głodu!
thirst1;~w~$~/~ испытывает жажду.;~w~$~/~ is thirsty.;~w~$~/~渴了。;~w~$~/~ ist durstig.;;;;;~w~$~/~ ma lekko sucho w gardle.
thirst2;~w~$~/~ испытывает сильную жажду.;~w~$~/~ suffers from severe thirst.;~w~$~/~口渴难耐。;~w~$~/~ leidet unter starkem Durst.;;;;;~w~$~/~ czuje mocną suchość w gardle.
thirst3;~w~$~/~ испытывает обезвоживание;~w~$~/~ is about to die from dehydration.;~w~$~/~马上就要渴死了！;~w~$~/~ steht vor dem Tod durch Dehydrierung.;;;;;~w~$~/~ wkrótce umrze z pragnienia!
pain1;~w~$~/~ испытывает боль.;~w~$~/~ is in pain.;~w~$~/~身上有些痛。;~w~$~/~ hat Schmerzen.;;;;;~w~$~/~ czuje ból.
pain2;~w~$~/~ испытывает сильную боль.;~w~$~/~ suffers from severe pain.;~w~$~/~剧痛难忍。;~w~$~/~ leidet unter starken Schmerzen.;;;;;~w~$~/~ cierpi z powodu ciężkiego bólu.
pain3;~w~$~/~ испытывает болевой шока!;~w~$~/~ suffers from pain shock!;~w~$~/~出现疼痛休克！;~w~$~/~ leidet unter Schmerzschock!;;;;;~w~$~/~ cierpi na szok bólowy.
toxic1;~w~$~/~ испытывает лёгкую интоксикацию.;~w~$~/~ feels slightly intoxicated.;~w~$~/~感觉自己稍微有些迷醉。;~w~$~/~ fühlt sich leicht vergiftet.;;;;;~w~$~/~ czuje lekkie zatrucie.
toxic2;~w~$~/~ испытывает тяжёлую интоксикацию.;~w~$~/~ is heavily intoxicated.;~w~$~/~出现明显迷醉。;~w~$~/~ ist schwer vergiftetet.;;;;;~w~$~/~ cierpi na poważne zatrucie.
toxic3;~w~$~/~ смертельно интоксицирован!;~w~$~/~ is critically intoxicated!;~w~$~/~严重迷醉。;~w~$~/~ ist kritisch vergiftet!;;;;;~w~$~/~ wykańcza zatrucie!
hungerDamage;~w~$~/~ ~r~слабеет~/~ от смертельного голода!;~w~$~/~ ~r~grows weaker~/~ from starvation!;~w~$~/~因为饥饿，身体有所虚弱。;~w~$~/~ ~r~wird schwächer~/~ vom Verhungern!;;;;;~w~$~/~ ~r~ słabnie ~/~ przez głód!
thirstDamage;~w~$~/~ ~r~слабеет~/~ от смертельной жажды!;~w~$~/~ ~r~grows weaker~/~ from dehydration!;~w~$~/~因为脱水，身体有所虚弱。;~w~$~/~ ~r~wird schwächer~/~ vom Wassermangel!;;;;;~w~$~/~ ~r~ słabnie~/~ przez odwodnienie!
painDamage;~w~$~/~ ~r~слабеет~/~ от смертельной боли!;~w~$~/~ ~r~grows weaker~/~ from extreme pain!;~w~$~/~因为极度疼痛，身体有所虚弱。;~w~$~/~ ~r~wird schwächer~/~ von extremen Schmerzen!;;;;;~w~$~/~ ~r~słabnie~/~ w wyniku silnego bólu!
toxicDamage;~w~$~/~ ~r~слабеет~/~ от смертельной интоксикации!;~w~$~/~ ~r~grows weaker~/~ from critical intoxication!;~w~$~/~因为严重迷醉，身体有所虚弱。;~w~$~/~ ~r~wird schwächer~/~ von der kritischen Vergiftung!;;;;;~w~$~/~ ~r~słabnie~/~ przez silne zatrucie!
heroism;~w~$~/~ испытывает прилив отваги.;~w~$~/~ feels courageous!;~w~$~/~无所畏惧！;~w~$~/~ fühlt sich mutig!;;;;;~w~$~/~ czuje odwagę!
secondWind;~w~$~/~ чувствует второе дыхание!;~w~$~/~ gets a second wind!;~w~$~/~元气恢复！;~w~$~/~ ist im Zweiten Wind!;;;;;~w~$~/~ dostaje drugą szansę!
optimism;~w~$~/~ начинает надеяться на лучшее.;~w~$~/~ espera pelo melhor.;~w~$~/~斗志昂扬！;~w~$~/~ hofft auf das Beste.;;;;;~w~$~/~ ma dobre nadzieje.
prudence;~w~$~/~ решает действовать благоразумно.;~w~$~/~ decides to be prudent.;~w~$~/~决定谨慎一点。;~w~$~/~ beschließt, vorsichtig zu sein.;;;;;~w~$~/~ decyduje się na ostrożność.
sadism;~w~$~/~ наслаждается чужими страданиями.;~w~$~/~ enjoys bringing pain.;~w~$~/~喜欢让人痛苦。;~w~$~/~ genießt es, Schmerzen zu bringen.;;;;;~w~$~/~ cieszy się z zadawania bólu.
masochism;~w~$~/~ наслаждается собственной болью.;~w~$~/~ enjoys their own suffering.;~w~$~/~享受自己的痛苦。;~w~$~/~ genießt das eigene Leiden.;;;;;~w~$~/~ cieszy się z cierpienia.
frenzy;~w~$~/~ теряет контроль в приступе ярости!;~w~$~/~ throws a tantrum!;~w~$~/~恼羞成怒！;~w~$~/~ hat einen Wutanfall!;;;;;~w~$~/~ rzuca się z furią!
megalomania;~w~$~/~ внезапно осознаёт всё свое величие.;~w~$~/~ suddenly realizes their own magnificence.;~w~$~/~突然意识到自己;~w~$~/~ erkennt plötzlich seine eigene Großartigkeit.;;;;;~w~$~/~ nagle uświadamia sobie swoją niesamowitość.
apathy;~w~$~/~ впадает в апатию.;~w~$~/~ becomes apathetic.;~w~$~/~无精打采。;~w~$~/~ wird gleichgültig.;;;;;~w~$~/~ jest apatyczny.
anxiety;~w~$~/~ начинает тосковать.;~w~$~/~ suffers from anxiety.;~w~$~/~十分焦虑。;~w~$~/~ leidet unter Angstzuständen.;;;;;~w~$~/~ czuje niepokój.
despair;~w~$~/~ впадает в отчаянье.;~w~$~/~ falls into despair.;~w~$~/~陷入绝望。;~w~$~/~ gerät in Verzweiflung.;;;;;~w~$~/~ wpada w desperację.
hypochondria;~w~$~/~ становится ипохондриком.;~w~$~/~ becomes hypochondriac.;~w~$~/~总感觉自己得了重病。;~w~$~/~ wird zum Hypochonder.;;;;;~w~$~/~ staje się hipochondrykiem.
coma;~w~$~/~ впадает в кому.;~w~$~/~ is comatose.;~w~$~/~昏了过去。;~w~$~/~ ist komatös.;;;;;~w~$~/~ wpada w śpiączkę.
stun;~w~$~/~ получает оглушение.;~w~$~/~ is stunned.;~w~$~/~出现硬直。;~w~$~/~ ist betäubt.;;;;;~w~$~/~ pada ofiarą ogłuszenia.
daze;~w~$~/~ получает ошеломление.;~w~$~/~ is dazed.;~w~$~/~被击晕了。;~w~$~/~ ist benommen.;;;;;~w~$~/~ pada ofiarą oszołomienia.
sleep;~w~$~/~ засыпает.;~w~$~/~ falls asleep.;~w~$~/~睡着了。;~w~$~/~ schläft ein.;;;;;~w~$~/~ zasypia.
poison;~w~$~/~ получает отравление.;~w~$~/~ is poisoned.;~w~$~/~中毒了。;~w~$~/~ ist vergiftet.;;;;;~w~$~/~ czuje truciznę w ustach.
bleeding;~w~$~/~ ~r~начинает истекать кровью~/~ (~w~$~/~).;~w~$~/~ ~r~starts bleeding~/~ (~w~$~/~).;~w~$~/~~r~开始出血~/~（~w~$~/~）。;~w~$~/~ ~r~ beginnt zu bluten~/~ (~w~$~/~).;;;;;~w~$~/~ ~r~zaczyna krwawić~/~ (~w~$~/~).
fire;~w~$~/~ в огне!;~w~$~/~ is on fire!;~w~$~/~身上着火了！;~w~$~/~ steht in Flammen!;;;;;~w~$~/~ stoi w ogniu!
immob;~w~$~/~ не может пошевелиться.;~w~$~/~ can't move.;~w~$~/~不能移动。;~w~$~/~ kann sich nicht bewegen.;;;;;~w~$~/~ nie może się poruszać.
confused;~w~$~/~ в замешательстве.;~w~$~/~ is confused.;~w~$~/~迷迷糊糊。;~w~$~/~ ist verwirrt.;;;;;~w~$~/~ nie ogarnia, co się dzieje.
nausea;~w~$~/~ страдает от рвоты.;~w~$~/~ vomits.;~w~$~/~吐了。;~w~$~/~ übergibt sich.;;;;;~w~$~/~ wymiotuje.
psyIncrease;~w~$~/~ повышается...;~w~$~/~ increases...;~w~$~/~有所提升……;~w~$~/~ erhöht sich...;;;;;~w~$~/~ rośnie...
psyDecrease;~w~$~/~ падает...;~w~$~/~ decreases...;~w~$~/~有所降低……;~w~$~/~ verringert sich...;;;;;~w~$~/~ spada...
sleepDebuff;~w~$~/~ не может спать (жизнь под угрозой).;~w~$~/~ can't sleep (life's under threat).;~w~$~/~性命不保，无法入睡。;~w~$~/~ kann nicht schlafen (das Leben ist in Gefahr).;;;;;~w~$~/~ nie może zasnąć (życie jest zagrożone).
sleepSave;~w~$~/~ засыпает. Игра сохранена.;~w~$~/~ falls asleep. Game's saved.;~w~$~/~睡着了，游戏进度已保存。;~w~$~/~ schläft ein. Das Spiel wurde gespeichert.;;;;;~w~$~/~ słodko śpi. Stan gry zapisany.
sleepWake;~w~$~/~ пробуждается.;~w~$~/~ wakes up.;~w~$~/~醒了。;~w~$~/~ wacht auf.;;;;;~w~$~/~ budzi się.
injury1;~w~$~/~ получает лёгкую травму (~w~$~/~).;~w~$~/~ $ is mildly injured.;~w~$~/~的$受了一点伤。;~w~$~/~ $ ist leicht verletzt.;;;;;~w~$~/~ $ ma lekkie rany.
injury2;~w~$~/~ получает среднюю травму (~w~$~/~).;~w~$~/~ $ is moderately injured.;~w~$~/~的$受伤了。;~w~$~/~ $ ist mäßig verletzt.;;;;;~w~$~/~ $ ma średnie rany.
injury3;~w~$~/~ получает тяжелую травму (~w~$~/~).;~w~$~/~ $ is severely injured.;~w~$~/~的$受了重伤。;~w~$~/~ $ ist schwer verletzt.;;;;;~w~$~/~ $ ma poważne rany.
injuryStabil1;~w~$~/~ стабилизирует лёгкую травму (~w~$~/~).;~w~$~/~ Lesão leve estabilizada no/na $.;~w~$~/~稳定了$的轻伤。;~w~$~/~ stabilisiert leicht verletzte(n) $.;;;;;~w~$~/~ stabilizuje lekko ranną część ciała - $.
injuryStabil2;~w~$~/~ стабилизирует среднюю травму (~w~$~/~).;~w~$~/~ Lesão moderada estabilizada no/na $.;~w~$~/~稳定了$不是非常严重的伤情。;~w~$~/~ stabilisiert mäßig verletzte(n) $.;;;;;~w~$~/~ stabilizuje średnio ranną część ciała - $.
injuryStabil3;~w~$~/~ стабилизирует тяжелую травму (~w~$~/~).;~w~$~/~ Lesão grave estabilizada no/na $.;~w~$~/~稳定了$严重的伤情。;~w~$~/~ stabilisiert schwer verletzte(n) $.;;;;;~w~$~/~ stabilizuje ciężko ranną część ciała - $.
foodSpoliageSoon;~lg~$~/~ скоро испортится.;~lg~$~/~ is about to spoil.;~lg~$~/~快要变质了。;~lg~$~/~ ist dabei, zu verderben.;;;;;~lg~$~/~ zaraz się zepsuje.
foodSpoliage;~lg~$~/~ сгнивает.;~lg~$~/~ spoils.;~lg~$~/~变质了。;~lg~$~/~ verdirbt.;;;;;~lg~$~/~ nie nadaje się do jedzenia.
weaponBreakSoon;~lg~$~/~ начинает приходить в негодность.;~lg~$~/~ is about to break.;~lg~$~/~快要坏了。;~lg~$~/~ geht bald kaputt.;;;;;~lg~$~/~ wkrótce się zepsuje.
weaponBreak;~lg~$~/~ приходит в негодность.;~lg~$~/~ breaks.;~lg~$~/~坏了。;~lg~$~/~ geht kaputt.;;;;;~lg~$~/~ nie nadaje się do użytku.
bedUnpaid;~w~$~/~ не может спать на неоплаченной кровати.;~w~$~/~ can't sleep in the bed unless it's paid for.;~w~$~/~还没有付房钱，不能上床睡觉。;~w~$~/~ kann nicht im Bett schlafen, wenn es nicht bezahlt ist.;;;;;~w~$~/~ nie może spać w łóżku, które nie jest wynajęte.
cook;~w~$~/~ готовит:;~w~$~/~ cooks:;~w~$~/~做了：;~w~$~/~ kocht:;;;;;~w~$~/~ gotuje:
repVillageUp;Репутация с населением ~w~$~/~ растёт!;Your reputation with ~w~$~/~ has improved!;你在~w~$~/~的声誉提升了！;Dein Ruf bei ~w~$~/~ hat sich verbessert!;;;;;Twoja reputacja wobec frakcji ~w~$~/~ wzrosła!
repVillageDown;Репутация с населением ~w~$~/~ ухудшается...;Your reputation with ~w~$~/~ has decreased...;你在~w~$~/~的声誉下降了……;Dein Ruf bei ~w~$~/~ hat sich verschlechtert!;;;;;Twoja reputacja wobec frakcji ~w~$~/~ spadła...
repVillageTier;Репутация с населением ~w~$~/~ достигла отметки ~y~$~/~.;Your reputation with ~w~$~/~ has reached the point of ~y~$~/~.;你和~w~$~/~的关系变成了~y~$~/~。;Dein Ruf bei ~w~$~/~ hat den Punkt von ~y~$~/~ erreicht.;;;;;Twoja reputacja wobec frakcji ~w~$~/~ uzyskała poziom ~y~$~/~.
repFactionUp;Репутация с фракцией ~w~$~/~ растёт!;Your reputation with ~w~$~/~ has improved!;你在~w~$~/~那里的声誉提升了！;Dein Ruf bei ~w~$~/~ hat sich verbessert!;;;;;Twoja reputacja wobec frakcji ~w~$~/~ wzrosła!
repFactionDown;Репутация с фракцией ~w~$~/~ ухудшается...;Your reputation with ~w~$~/~ has decreased...;你在~w~$~/~那里的声誉下降了……;Dein Ruf bei ~w~$~/~ hat sich verbessert!;;;;;Twoja reputacja wobec frakcji ~w~$~/~ spadła...
repFactionTier;Репутация с фракции ~w~$~/~ достигла отметки ~y~$~/~.;Your reputation with ~w~$~/~ has reached the point of ~y~$~/~.;你和~w~$~/~的关系变成了~y~$~/~。;Dein Ruf bei ~w~$~/~ hat den Punkt von ~y~$~/~ erreicht.;;;;;Twoja reputacja wobec frakcji ~w~$~/~ uzyskała poziom ~y~$~/~.
sleepDanger;Сон здесь небезопасен: неподалёку враги.;It's not safe to sleep here: the enemies are nearby.;附近有敌人，睡觉太危险。;Es ist nicht sicher hier zu schlafen: Feinde sind in der Nähe.;;;;;Odpoczynek w tym miejscu jest niebezpieczny : przeciwnicy są w pobliżu.
;text_end;text_end;text_end;text_end;text_end;text_end;text_end;text_end;text_end
;;;;;;;;;
;words;words;words;words;words;words;words;words;words
attack;атакует;atacou;攻击;attackiert;;;;;atakuje
counterAttack;контратакует;counterattacks;反击;kontert;;;;;kontratakuje
health;здоровья;de Vida;生命;Gesundheit;;;;;zdrowia
durability;прочности;de durabilidade;耐久;Haltbarkeit;;;;;wytrzymałości
morale;Мораль;Moral;斗志;Moral;;;;;Morale
sanity;Рассудок;Sanidade;神智;geistige Gesundheit;;;;;Zdrowia Psychicznego
regeneration;регенерация;Restauração;恢复;Regeneration;;;;;odnawia
lifeSteal;похищение здоровья;vida drenada;生命吸取;Lebensentzug;;;;;wykrada zdrowia
energySteal;похищение энергии;energia drenada;精力吸取;Energieentzug;;;;;wykrada energii
gold;золото;ouro;黄金;Gold;;;;;złota
unaware;теряет след персонажа;perde o controle de seu personagem;被你甩掉了;verliert den Kontakt zu deinem Charakter;;;;;traci twoją postać ze wzroku
alarm;настораживается;alarmado;警觉;alarmiert;;;;;zaalarmowany
hostile;замечает персонажа;hostil;敌意;feindlich;;;;;wrogi
crit;критическую атаку;acerto crítico;暴击;krit. Treffer;;;;;krytyczny cios
xp;опыта;EXP;点经验;XP;;;;;XP
leftHand;левая рука;braço direito;左手;linke Hand;;;;;lewa ręka
rightHand;правая рука;braço esquerdo;右手;rechte Hand;;;;;prawa ręka
paw;лапа;mão;手掌;Pfote;;;;;łapa
leftLeg;левая нога;perna esquerda;左腿;linkes Bein;;;;;lewa noga
rightLeg;правая нога;perna direita;右腿;rechtes Bein;;;;;prawa noga
head;голова;Cabeça;头部;Kopf;;;;;głowa
torso;торс;tronco;躯干;Rumpf;;;;;tułów
well;колодца;well;水井;Brunnen;;;;;studni
waterfall;водопада;waterfall;瀑布;Wasserfall;;;;;wodospadu
hatred;Ненависть;Hatred;敌对;Verhasst;;;;;znienawidzony
dislike;Неприязнь;Resentment;反感;Abneigung;;;;;zły
neutral;Нейтралитет;Neutrality;不好不坏;Neutral;;;;;neutralny
admiration;Благосклонность;Benevolence;友好;Wohlwollen;;;;;życzliwy
amity;Дружелюбие;Amity;和睦;Freundschaft;;;;;przyjazny
respect;Уважение;Respect;敬重;Respekt;;;;;szanuje cię
;words_end;words_end;words_end;words_end;words_end;words_end;words_end;words_end;words_end
;;;;;;;;;
;actions;actions;actions;actions;actions;actions;actions;actions;actions
food;ест;comeu;吃了;isst;;;;;je
drink;пьёт:;bebeu;喝了;trinkt;;;;;pije
tool;применяет;aplicou;用了;benutzt;;;;;nakłada
drug;употребляет;usou;用了;nimmt;;;;;używa
treatise;изучает;estudou;学了;studiert;;;;;czyta
other;использует;usou;用了;benutzt;;;;;używa
;actions_end;actions_end;actions_end;actions_end;actions_end;actions_end;actions_end;actions_end;actions_end
;;;;;;;;;
;damages;damages;damages;damages;damages;damages;damages;damages;damages
Slashing;рубящего;de dano cortante;点劈砍;schlitzend;;;;;Przecinających
Piercing;колющего;de dano perfurante;点穿刺;stechend;;;;;Przebijających
Blunt;дробящего;de dano brusco;点钝器;schmetternd;;;;;Obalających
Rending;разрывающего;de dano de laceração;点撕裂;reißend;;;;;Rozcinających
Fire;огненного;de dano de fogo;点灼烧;feuer;;;;;od Ognia
Frost;морозного;de dano de gelo;点霜冻;frost;;;;;od Zamrożenia
Shock;электрического;de dano eletrico;点电击;schock;;;;;od Porażenia
Poison;ядовитого;veneno;点中毒;gift;;;;;od Trucizn
Caustic;разъедающего;de dano cáustico;点腐蚀;säure;;;;;od Kwasów
Psionic;псионического;de dano psiônico;点灵术;psionisch;;;;;Psychicznych
Arcane;арканического;ade dano rcano;点秘术;arkan;;;;;Tajemnych
Sacred;священного;de dano sagrado;点神圣;heilig;;;;;Świętych
Unholy;нечестивого;de dano profano;点邪术;unheilig;;;;;Przeklętych
;damages_end;damages_end;damages_end;damages_end;damages_end;damages_end;damages_end;damages_end;damages_end
;;;;;;;;;
;symbols;symbols;symbols;symbols;symbols;symbols;symbols;symbols;symbols
dot;.;.;。;.;;;;;.
question;?;?;？;?;;;;;?
ellipsis;...;…;……;…;;;;;…
comma;,;,;，;,;;;;;,
commaEnum;,;,;、;,;;;;;,
openRoundBracket;(;(;（;(;;;;;(
closeRoundBracket;););）;);;;;;)
colon;:;:;：;:;;;;;:
openQuote;";";“;";;;;;"
closeQuote;";";”;";;;;;"
;symbols_end;symbols_end;symbols_end;symbols_end;symbols_end;symbols_end;symbols_end;symbols_end;symbols_end
